"age", "gender", "signed_in", "avg_click", "avg_impressions", "max_click", "max_impressions"
0,0,0,0.1421,4.9996,4,18,
7,0,1,0.7500,5.0000,1,7,
7,1,1,0.0000,6.0000,0,6,
8,0,1,0.0000,6.3333,0,10,
8,1,1,0.3333,6.2500,1,11,
9,0,1,0.1250,5.6875,1,10,
9,1,1,0.0938,5.4375,1,9,
10,0,1,0.1250,5.2188,1,11,
10,1,1,0.1852,4.6543,1,11,
11,0,1,0.1290,4.9140,2,13,
11,1,1,0.1263,5.1842,1,13,
12,0,1,0.1500,4.7550,2,16,
12,1,1,0.1606,4.9534,2,13,
13,0,1,0.1455,4.9879,2,12,
13,1,1,0.1509,4.9986,2,15,
14,0,1,0.1316,4.9906,2,14,
14,1,1,0.1349,5.0556,3,15,
15,0,1,0.1765,4.9647,2,15,
15,1,1,0.1379,4.9345,3,14,
16,0,1,0.1590,4.9143,2,16,
16,1,1,0.1483,5.0234,3,16,
17,0,1,0.1579,5.1394,2,12,
17,1,1,0.1505,5.0237,3,15,
18,0,1,0.0810,5.0091,2,16,
18,1,1,0.0875,4.9509,2,17,
19,0,1,0.0455,5.0757,2,17,
19,1,1,0.0500,4.9646,2,16,
20,0,1,0.0493,4.9622,2,15,
20,1,1,0.0439,4.9769,2,16,
21,0,1,0.0492,5.0589,2,14,
21,1,1,0.0492,5.0557,2,14,
22,0,1,0.0476,4.9790,2,14,
22,1,1,0.0504,5.0183,2,14,
23,0,1,0.0534,5.0186,2,15,
23,1,1,0.0484,5.0181,2,14,
24,0,1,0.0432,4.9205,1,15,
24,1,1,0.0489,4.9723,2,15,
25,0,1,0.0422,4.9030,2,15,
25,1,1,0.0470,5.1227,2,15,
26,0,1,0.0489,5.0188,2,14,
26,1,1,0.0515,5.0142,2,13,
27,0,1,0.0477,4.9981,2,13,
27,1,1,0.0536,4.9684,2,14,
28,0,1,0.0514,5.0591,2,16,
28,1,1,0.0450,4.8557,2,14,
29,0,1,0.0523,5.0010,2,15,
29,1,1,0.0434,4.9051,2,15,
30,0,1,0.0538,5.0013,2,14,
30,1,1,0.0578,5.0091,2,14,
31,0,1,0.0489,5.0088,2,13,
31,1,1,0.0568,5.0012,2,15,
32,0,1,0.0532,5.0122,2,15,
32,1,1,0.0524,5.0153,2,14,
33,0,1,0.0518,4.9977,2,13,
33,1,1,0.0471,5.0211,2,14,
34,0,1,0.0596,5.0447,1,17,
34,1,1,0.0384,4.9599,2,15,
35,0,1,0.0492,5.0151,2,14,
35,1,1,0.0514,5.0480,2,13,
36,0,1,0.0502,5.0037,2,14,
36,1,1,0.0468,4.9838,3,14,
37,0,1,0.0574,5.0399,2,16,
37,1,1,0.0494,5.0354,2,20,
38,0,1,0.0519,4.9816,2,14,
38,1,1,0.0572,5.0134,2,15,
39,0,1,0.0462,5.0872,2,15,
39,1,1,0.0535,5.0278,2,14,
40,0,1,0.0507,5.0267,2,14,
40,1,1,0.0477,5.0839,2,15,
41,0,1,0.0510,4.9981,2,14,
41,1,1,0.0538,5.0686,2,16,
42,0,1,0.0524,4.9834,2,16,
42,1,1,0.0548,5.0299,2,15,
43,0,1,0.0471,4.9978,2,14,
43,1,1,0.0550,4.9770,2,17,
44,0,1,0.0628,4.9705,2,13,
44,1,1,0.0462,5.0467,2,15,
45,0,1,0.0501,5.0653,2,15,
45,1,1,0.0591,5.0181,2,14,
46,0,1,0.0601,5.0080,2,15,
46,1,1,0.0396,4.9904,2,14,
47,0,1,0.0509,5.0024,2,17,
47,1,1,0.0490,5.0934,2,16,
48,0,1,0.0568,5.0477,2,14,
48,1,1,0.0507,4.9343,2,14,
49,0,1,0.0472,4.9761,2,16,
49,1,1,0.0456,4.9891,2,16,
50,0,1,0.0497,5.0021,2,14,
50,1,1,0.0522,5.0593,2,14,
51,0,1,0.0452,5.0118,2,14,
51,1,1,0.0507,5.0405,2,15,
52,0,1,0.0509,4.9927,2,13,
52,1,1,0.0521,4.9855,2,15,
53,0,1,0.0491,4.9636,2,14,
53,1,1,0.0545,5.0208,2,14,
54,0,1,0.0461,5.0710,2,15,
54,1,1,0.0466,4.9893,1,15,
55,0,1,0.0954,5.0017,2,13,
55,1,1,0.0927,5.0353,2,14,
56,0,1,0.0908,4.9281,2,15,
56,1,1,0.1089,5.0506,3,14,
